CustomerKey,FirstName,MiddleName,LastName,Gender,DateFirstPurchase,Customer City
11000,Jon,V,Yang,Male,2018-01-19,Rockhampton
11001,Eugene,L,Huang,Male,2018-01-15,Seaford
11002,Ruben,NULL,Torres,Male,2018-01-07,Hobart
11003,Christy,NULL,Zhu,Female,2017-12-29,North Ryde
11004,Elizabeth,NULL,Johnson,Female,2018-01-23,Wollongong
11005,Julio,NULL,Ruiz,Male,2017-12-30,East Brisbane
11006,Janet,G,Alvarez,Female,2018-01-24,Matraville
11007,Marco,NULL,Mehta,Male,2018-01-09,Warrnambool
11008,Rob,NULL,Verhoff,Female,2018-01-25,Bendigo
11009,Shannon,C,Carlson,Male,2018-01-27,Hervey Bay
11010,Jacquelyn,C,Suarez,Female,2018-01-14,East Brisbane
11011,Curtis,NULL,Lu,Male,2017-12-30,East Brisbane
11012,Lauren,M,Walker,Female,2020-03-16,Bremerton
11013,Ian,M,Jenkins,Male,2020-04-13,Lebanon
11014,Sydney,NULL,Bennett,Female,2020-03-23,Redmond
11015,Chloe,NULL,Young,Female,2020-01-18,Burbank
11016,Wyatt,L,Hill,Male,2020-02-09,Imperial Beach
11017,Shannon,NULL,Wang,Female,2018-01-12,Sunbury
11018,Clarence,D,Rai,Male,2018-01-17,Bendigo
11019,Luke,L,Lal,Male,2020-02-12,Langley
11020,Jordan,C,King,Male,2019-12-29,Metchosin
11021,Destiny,NULL,Wilson,Female,2020-01-23,Beaverton
11022,Ethan,G,Zhang,Male,2020-01-20,Bellingham
11023,Seth,M,Edwards,Male,2020-02-17,Bellflower
11024,Russell,NULL,Xie,Male,2020-06-27,Concord
11025,Alejandro,NULL,Beck,Male,2018-01-06,Hawthorne
11026,Harold,NULL,Sai,Male,2018-01-23,Goulburn
11027,Jessie,R,Zhao,Male,2018-01-16,Warrnambool
11028,Jill,NULL,Jimenez,Female,2018-01-26,St. Leonards
11029,Jimmy,L,Moreno,Male,2018-01-19,Bendigo
11030,Bethany,G,Yuan,Female,2018-02-05,Cloverdale
11031,Theresa,G,Ramos,Female,2018-02-01,Matraville
11032,Denise,NULL,Stone,Female,2018-02-18,Melbourne
11033,Jaime,NULL,Nath,Male,2018-02-15,Milsons Point
11034,Ebony,NULL,Gonzalez,Female,2018-02-01,North Sydney
11035,Wendy,NULL,Dominguez,Female,2018-02-06,Cranbourne
11036,Jennifer,C,Russell,Female,2020-01-22,National City
11037,Chloe,M,Garcia,Female,2020-01-20,Cliffside
11038,Diana,F,Hernandez,Female,2018-02-07,Lavender Bay
11039,Marc,J,Martin,Male,2018-02-07,Wollongong
11040,Jesse,NULL,Murphy,Male,2020-04-03,Tacoma
11041,Amanda,M,Carter,Female,2020-01-14,Glendale
11042,Megan,J,Sanchez,Female,2020-01-21,Los Angeles
11043,Nathan,M,Simmons,Male,2020-05-08,Glendale
11044,Adam,L,Flores,Male,2018-02-28,Hervey Bay
11045,Leonard,G,Nara,Male,2020-04-10,Matraville
11046,Christine,NULL,Yuan,Female,2018-02-06,Lavender Bay
11047,Jaclyn,D,Lu,Female,2018-02-03,Geelong
11048,Jeremy,NULL,Powell,Male,2018-02-10,Sunbury
11049,Carol,C,Rai,Female,2020-03-09,Chula Vista
11050,Alan,NULL,Zheng,Male,2018-02-20,Hobart
11051,Daniel,NULL,Johnson,Male,2020-12-29,Caloundra
11052,Heidi,NULL,Lopez,Female,2018-02-17,Matraville
11053,Ana,E,Price,Female,2020-01-17,San Diego
11054,Deanna,NULL,Munoz,Female,2018-02-03,Geelong
11055,Gilbert,NULL,Raje,Male,2018-01-31,East Brisbane
11056,Michele,L,Nath,Female,2018-02-26,Newcastle
11057,Carl,J,Andersen,Male,2018-02-22,Lane Cove
